"notation","title","description","id"
"1","Sprechen und Zuhören","","r2f"
"1.1","Zu anderen sprechen","","q5h"
"1.1.1","äußern sich verständlich und situationsadäquat auch in der gesprochenen Standardsprache,","","b2e"
"1.1.2","verfügen über einen angemessenen Wortschatz,","","f7h"
"1.1.3","kommunizieren mit Blick auf Adressaten und Ziele situationsangemessen:","","f7s"
"1.1.3.1","erzählen","","v5v"
"1.1.3.2","informieren: berichten, beschreiben","","p5d"
"1.1.3.3","erklären","","v4r"
"1.1.3.4","argumentieren","","v7x"
"1.1.3.5","appellieren","","x2v"
"1.1.4","nutzen ihre Vorbereitungen (z. B. Notizen) für die sach- und situationsgerechte Gestaltung vertrauter oder überschaubarer Situationen, z. B. Unterrichtsgespräche, Diskussionen, Präsentationen,","","d7s"
"1.1.5","bauen Redebeiträge in vertrauten und überschaubaren Situationen für andere nachvollziehbar und sinnvoll auf,","","g6s"
"1.1.6","berücksichtigen ausgewählte Wirkungen ihrer Redeweise situations- und adressatengerecht: Lautstärke, Betonung, Sprechtempo, Pausen, Körpersprache (Gestik/Mimik), Körperhaltung,","","t6z"
"1.1.7","geben in vertrauten und überschaubaren Situationen gezielt Feedback zu Redebeiträgen,","","v3d"
"1.1.8","nutzen technische Möglichkeiten beim digitalen Kommunizieren in vertrauten und überschaubaren Situationen: die eigene Stimme aufzeichnen, Gesprächsregeln beim digital vermittelten Sprechen (Audio- und Videokonferenzen) einhalten.","","u7t"
"1.2","Verstehend zuhören","","g4r"
"1.2.1","können in vertrauten und überschaubaren Kommunikationssituationen,","","s4q"
"1.2.1.1","Gesprächsprozesse verfolgen, verstehen und gezielt nachfragen,","","a6v"
"1.2.1.2","Verstehen und Nicht-Verstehen zum Ausdruck bringen (z. B. durch Nachfragen),","","r6v"
"1.2.2","hören in vertrauten und überschaubaren Situationen sinnverstehend zu,","","z3x"
"1.2.2.1","geben Informationen wieder und ziehen einfache Schlussfolgerungen,","","t5e"
"1.2.2.2","erfassen dem Lernstand entsprechende Hörtexte, Gesprächsphasen oder Gespräche (z. B. zentrale Aussagen sowie Sprech- und Gesprächsabsichten),","","e6b"
"1.2.2.3","beurteilen einfache Aussagen zum Gehörten begründet,","","f3r"
"1.2.2.4","zeigen Aufmerksamkeit für paraverbale (z. B. Stimmführung, Körpersprache) und nonverbale Äußerungen (z. B. Gestik, Körperhaltung),","","v4u"
"1.2.3","wenden in vertrauten und überschaubaren Situationen erste kognitive und metakognitive Strategien vor, während und nach dem Zuhören an, z. B. Blickkontakt herstellen, Fragen stellen, Medium mehrmals hören, Hörerwartung aufbauen.","","r2v"
"1.3","Mit anderen sprechen","","x6u"
"1.3.1","beteiligen sich an vertrauten und überschaubaren Gesprächssituationen mit verständlichen, zuhörerbezogenen, themenbezogenen und konstruktiven Beiträgen,","","v3f"
"1.3.2","beachten (gemeinsam entwickelte) Gesprächsregeln; achten auf eine wertschätzende Gesprächsatmosphäre,","","u3d"
"1.3.3","formulieren in vertrauten und überschaubaren Situationen angemessen; gehen auf die Gesprächspartnerin bzw. den Gesprächspartner und die jeweilige Situation ein,","","b4a"
"1.3.4","nehmen in Gesprächen einfache Rollen ein (z. B. Zuhörerin bzw. Zuhören, Sprecherin bzw. Sprecher),","","b7y"
"1.3.5","praktizieren ausgewählte Gesprächs- und Lernformen, z. B. Lesetandems, Rechtschreibgespräche, literarische Gespräche, Diskussionen, videogestützte Gespräche, Interviews,","","h5y"
"1.3.6","wenden erste Gesprächsstrategien an, z. B. Fragen stellen, etwas zusammenfassen, Rückmeldung geben,","","r7s"
"1.3.7","sprechen über das sprachliche und literarische Lernen sowie über Lernerfahrungen: geben Beobachtungen wieder, beschreiben Sachverhalte, geben Erklärungen und Begründungen, reflektieren.","","v7t"
"1.4","Vor anderen sprechen","","u2y"
"1.4.1","leisten kurze, auch freie Beiträge adressatenorientiert und mit Hilfe eines Stichwortzettels/einer Gliederung/von Notizen/eines Textes, z. B. Kurzreferat, Präsentation, Gedicht,","","e5t"
"1.4.2","nutzen ausgewählte Werkzeuge für das Sprechen vor anderen, z. B. Tafel, Plakat, Moderationskarten, Präsentationssoftware, Whiteboard,","","h6h"
"1.4.3","planen und gestalten ausgewählte Formen des Präsentierens, z. B. Standbild, Kurzreferat,","","v2d"
"1.4.4","planen und gestalten unter Anleitung Formen des szenischen Sprechens und Spielens, z. B. szenische Lesung, Szene, Aufführung, Hörspiel, Videoclip, Standbild, Improvisation.","","v9b"
"2","Schreiben","","z7e"
"2.1","Über Schreibfertigkeiten verfügen","","g9z"
"2.1.1","schreiben Buchstaben, Wörter, Wortgruppen und kurze Sätze flüssig, d. h. zügig, sicher und korrekt (automatisiert),","","d7c"
"2.1.2","schreiben Texte in leserlicher Handschrift und mithilfe digitaler Schreibwerkzeuge,","","h2a"
"2.1.3","gestalten Texte (handschriftlich und mithilfe digitaler Schreibwerkzeuge) zielorientiert und übersichtlich, z. B. hinsichtlich Schriftgröße, Blattaufteilung, Seitenränder, Absätze.","","x2u"
"2.2","Orthografisch schreiben","","t7t"
"2.2.1","kennen wortbezogene und zum Teil auch satzbezogene Rechtschreibstrategien und wenden diese an:","","z5t"
"2.2.1.1","vergleichen Wortschreibungen (z. B. orthografische Nachbarn: Raum/Saum, Unterscheidungsschreibungen: Wahl/Wal, Ausnahme- und Regelschreibungen: Vater/fahren, Basisschreibungen und abgeleitete Schreibungen: Hund/Hunde; Alternativschreibungen: kennenlernen/kennen lernen) und sprechen über Gemeinsamkeiten und Unterschiede,","","f6q"
"2.2.1.2","erschließen sich die Struktur von Kernwörtern, z. B. gliedern in Silben und Wortbestandteile, verlängern, flektieren, ableiten, erweitern,","","x7f"
"2.2.1.3","prägen sich Merkwörter ein (z. B. Eigennamen, Ausnahmeschreibungen),","","g3y"
"2.2.1.4","unterscheiden zwischen Kernwörtern und Fremdwörtern,","","v7c"
"2.2.2","schreiben Kernwörter richtig (Inhalts- und Funktionswörter),","","a4r"
"2.2.3","schreiben häufig vorkommende Fremdwörter richtig (z. B. Melone, Vulkan, Maschine, Kabine)","","g2t"
"2.2.4","schreiben Satzanfänge, Eigennamen und Kerne von Nominalgruppen (Konkreta wie Haus, Buch; gängige Abstrakta wie Liebe, Glück) groß,","","a6g"
"2.2.5","kennen und nutzen folgende Interpunktionszeichen: Punkt, Komma bei Aufzählungen, Fragezeichen, Ausrufezeichen, Anführungszeichen,","","q9t"
"2.2.6","verfügen über Fehleraufmerksamkeit und nutzen Strategien zur Klärung orthografischer Fragen,","","d5v"
"2.2.7","nutzen Rechtschreibhilfen (Wörterbuch und digitale Rechtschreibhilfe),","","a6c"
"2.2.8","überprüfen und korrigieren Texte auf orthografische Richtigkeit.","","d2a"
"2.3","Texte verfassen","","v3g"
"2.4","Texte planen und strukturieren","","f5d"
"2.4.1","sammeln Ideen, ordnen Informationen und fertigen eine Gliederung an, z. B. numerische Gliederung, Cluster, Mindmap,","","x9d"
"2.4.2","sammeln erste sprachliche Mittel: Wörter und Wortfelder","","d3f"
"2.4.3","stellen Überlegungen zu den Adressaten (konkret, bekannt), deren thematischem Vorwissen und ihren angenommenen Lesezielen an,","","r4s"
"2.4.4","klären entsprechend dem Schreibziel die Schreibabsicht, Schreibsituation und Textfunktion,","","v3t"
"2.4.5","führen einzelne Planungsschritte (Inhalt, Aufbau) kooperativ durch,","","u6x"
"2.4.6","nutzen die Möglichkeiten digitaler Schreibwerkzeuge zur Vorbereitung der Textproduktion, z. B. Anlegen von Stoffsammlungen, Mindmaps.","","f4s"
"2.5","Texte formulieren","","p3x"
"2.5.1","formulieren einfache Texte verständlich, kohärenzstiftend, strukturiert und sprachlich angemessen,","","b5u"
"2.5.2","formulieren Texte für konkrete und überwiegend bekannte Adressaten angemessen,","","q5f"
"2.5.3","realisieren mit ausgewählten Textsorten grundlegende kommunikative und personale Schreibfunktionen:","","y7z"
"2.5.3.1","Ausdrücken: Sich selbst, Erlebtes und Erdachtes, Gedanken und Gefühle (auch auf Basis von Schreibimpulsen wie Texten, Bildern oder Musik), z. B. in den Textsorten: Erlebniserzählung, Fantasieerzählung, Selbstportrait, Gedicht,","","s4r"
"2.5.3.2","Darstellen: Beschreiben, Erklären, Informieren, Instruieren, z. B. in den Textsorten: Personen-, Orts- und Bildbeschreibung, Lexikoneintrag, Gebrauchsanweisung, Bastel- oder Spielanleitung, Back- oder Kochrezept,","","y6z"
"2.5.3.3","Appellieren: Bitten oder Wünschen, eine Meinung begründen (Argumentieren), z. B. in den Textsorten: Brief, Buch‐, Spiel‐ oder Filmtipp,","","u5r"
"2.5.4","nutzen unterschiedliche Schreibformen: kooperative (z. B. Schreibkonferenzen), produktive (z. B. Umschreiben, Weiterschreiben) und kreative (z. B. Schreiben zu Bildern),","","g3z"
"2.5.5","kennen ausgewählte Möglichkeiten digitaler Textgestaltung und nutzen sie angeleitet,","","y7c"
"2.5.6","kennen grundlegende Formulierungsstrategien und wenden sie an.","","p6e"
"2.6","Texte überarbeiten","","a9e"
"2.6.1","nutzen ausgewählte textsortenspezifische Kriterien für die Textüberprüfung und ‐überarbeitung,","","f9e"
"2.6.2","überprüfen auf der Basis von Rückmeldungen (z. B. Lehrkraft, Mitschülerinnen und Mitschüler) Texte nach ausgewählten Kriterien und überarbeiten diese (auch kooperativ, z. B. Textlupe, Schreibkonferenz) im Hinblick auf:","","u3a"
"2.6.2.1","Aufbau, Inhalt und Formulierungen,","","p7t"
"2.6.2.2","treffende Wortwahl, Rechtschreibung, Gestaltung,","","g3d"
"2.6.2.3","Kohärenz (bei kürzeren, einfach aufgebauten Texten) und Verständlichkeit,","","x4d"
"2.6.2.4","bekannte Adressaten","","z5r"
"2.6.3","holen Text-Feedback ein und formulieren selbst auch Feedback zu Texten anderer,","","g7v"
"2.6.4","nutzen bei der Textüberarbeitung angeleitet digitale Schreibwerkzeuge, z. B. Einfügen und Umstellen von Wörtern, Wortgruppen und Sätzen,","","t6q"
"2.6.5","kennen erste Überarbeitungsstrategien (z. B. Text als ersten Entwurf begreifen, sich den Textentwurf laut vorlesen, Planungsnotizen zur Überprüfung des Textes nutzen) und wenden diese an.","","p6t"
"3","Lesen","","b9x"
"3.1","Lesefertigkeiten: Flüssig lesen","","q5v"
"3.1.1","nutzen die schriftsprachlichen Informationen (u. a. Silbe, Morphem, Komma, Punkt, Fragezeichen, Großschreibung) beim Lesen,","","y2u"
